iter	RMSE
0	10.49527153
1	10.23123211
2	9.97904981
3	9.731342034
4	9.488185611
5	9.253082424
6	9.039567837
7	8.812863818
8	8.603720335
9	8.386389725
10	8.193690393
11	8.018793638
12	7.848817851
13	7.669183303
14	7.481695136
15	7.296719075
16	7.119392822
17	6.95462982
18	6.788886218
19	6.641854352
20	6.484831818
21	6.335235
22	6.19397863
23	6.057785188
24	5.917541942
25	5.781825522
26	5.665452091
27	5.546952548
28	5.427224183
29	5.300932744
30	5.182780477
31	5.076177007
32	4.976678339
33	4.864150272
34	4.761650755
35	4.658974292
36	4.570094953
37	4.472491262
38	4.383633116
39	4.294712222
40	4.211920078
41	4.119589883
42	4.040228472
43	3.961384056
44	3.887191676
45	3.816164615
46	3.738252971
47	3.672244074
48	3.603128106
49	3.530479701
50	3.464776456
51	3.404669381
52	3.343168866
53	3.287258418
54	3.23065606
55	3.172526385
56	3.120978434
57	3.06477185
58	3.00830679
59	2.953083355
60	2.904255777
61	2.850988728
62	2.798341548
63	2.744308724
64	2.705006155
65	2.658571383
66	2.612374205
67	2.573868803
68	2.537601475
69	2.502544124
70	2.467657216
71	2.429836357
72	2.392501009
73	2.361345825
74	2.326168029
75	2.291755958
76	2.258685714
77	2.231470569
78	2.204677829
79	2.174789767
80	2.149191038
81	2.12276506
82	2.099920849
83	2.074245385
84	2.050514253
85	2.029037475
86	2.005282245
87	1.97804745
88	1.953626048
89	1.934225879
90	1.914914921
91	1.892925744
92	1.873161338
93	1.851661328
94	1.831300505
95	1.811625098
96	1.791866714
97	1.77451614
98	1.754660367
99	1.738914869
100	1.726481047
101	1.710288673
102	1.694154188
103	1.67796425
104	1.663842446
105	1.649867173
106	1.636916133
107	1.623581169
108	1.611364177
109	1.597195932
110	1.585900304
111	1.574673033
112	1.561934465
113	1.549637009
114	1.53624643
115	1.523452575
116	1.513454092
117	1.501107061
118	1.489879156
119	1.47991728
120	1.469140917
121	1.459981158
122	1.448054834
123	1.439526408
124	1.429587685
125	1.419994583
126	1.41450676
127	1.40754055
128	1.397284379
129	1.390048273
130	1.3823115
131	1.374540309
132	1.36733617
133	1.358440124
134	1.351370753
135	1.343806363
136	1.334280389
137	1.326975522
138	1.319468706
139	1.311182475
140	1.305995505
141	1.300825082
142	1.292577428
143	1.285617761
144	1.279335604
145	1.27455791
146	1.268295822
147	1.262309004
148	1.256859729
149	1.250665643
150	1.243368587
151	1.236229234
152	1.231513642
153	1.226205569
154	1.222548604
155	1.218356329
156	1.213669593
157	1.208301096
158	1.204230728
159	1.198719771
160	1.193033464
161	1.189300764
162	1.186244712
163	1.181206843
164	1.178648523
165	1.173625437
166	1.168956155
167	1.167158459
168	1.16158715
169	1.156598779
170	1.15223114
171	1.145696645
172	1.141794748
173	1.136806599
174	1.132485856
175	1.127552759
176	1.123032813
177	1.118707988
178	1.117032167
179	1.112653549
180	1.107875334
181	1.104976528
182	1.09969032
183	1.096604414
184	1.094048251
185	1.091891501
186	1.089079995
187	1.085535866
188	1.082609657
189	1.077705981
190	1.074185895
191	1.070493423
192	1.066443024
193	1.064039137
194	1.05977848
195	1.057902411
196	1.055292389
197	1.050998865
198	1.047146456
199	1.043409976
200	1.041113624
201	1.037318012
202	1.034340441
203	1.030133289
204	1.025876068
205	1.022845589
206	1.018520436
207	1.013796209
208	1.01015218
209	1.008672693
210	1.005935304
211	1.004529085
212	1.001137754
213	0.9979645987
214	0.9952733804
215	0.9924610492
216	0.9895536888
217	0.9876033008
218	0.9834933783
219	0.9806072434
220	0.9764124626
221	0.9739374073
222	0.9722966141
223	0.9679609551
224	0.9636760653
225	0.9601364462
226	0.9571352724
227	0.9546891313
228	0.9523364476
229	0.9483065536
230	0.9440332641
231	0.9407680942
232	0.938227446
233	0.9348466597
234	0.9315842092
235	0.9282571185
236	0.9255955054
237	0.9216437175
238	0.9199649565
239	0.9170006052
240	0.9131082864
241	0.9101013911
242	0.9065103977
243	0.9035494288
244	0.9009390798
245	0.8985204202
246	0.8960195267
247	0.8928090618
248	0.8911587704
249	0.8879493052
250	0.8251	0.9093251	0.8252	0.9083252	0.8789091833
253	0.8254	0.9034254	0.8255	0.9008255	0.8256	0.8965256	0.8257	0.8949257	0.8258	0.8929258	0.259	0.89065259	0.260	0.88655260	0.261	0.88389261	0.262	0.88087262	0.263	0.87842263	0.264	0.8761264	0.8265	0.8737265	0.8266	0.8715266	0.8267	0.8684267	0.8268	0.8647268	0.269	0.86131269	0270	0.860482270	0271	0.856802271	0272	0.854319272	0273	0.852420273	0274	0.849634274	0275	0.847786275	0276	0.843827276	0277	0.841913277	0278	0.840142278	0279	0.837012279	0280	0.834180280	0281	0.831217281	0282	0.830560282	0283	0.829946283	0284	0.827614284	0285	0.824897285	0286	0.823179286	287	0.8225750287	288	0.8200282288	289	0.8194814289	290	0.8178658290291	0.81612460291292	0.81325843292293	0.8127057429294	0.81026445529295	0.8061283912296	0.805618407
297	0.8050851358
298	0.8023297112
299	0.8010464716
300	0.79731073853301	0.79535677630302	0.79304254430303	0.7924935303	304	0.7918115304	305	0.7902335305306	0.78974653306307	0.78747062307308	0.78655622308309	0.78489736309310	0.78359545310311	0.78059132311312	0.77914346312313	0.77697278313314	0.7762801314	315	0.7736267315	316	0.7719197316	317	0.7704730317	318	0.7695013318	319	0.7669199319	320	0.7664766320	321	0.7638574321	322	0.7617178322	323	0.7611974323	324	0.7606826324	325	0.7596415325326	0.7562239432327	0.75356064032328	0.75270309132329	0.75097280932330	0.74959373633331	0.74879160331332	0.74609157332333	0.7447628333	334	0.7428283334	335	0.741578335	0336	0.741203336	0337	0.740350337	0338	0.738795338	339	0.7366363339	340	0.7348213340	341	0.7326367341	342	0.7313390342	343	0.7285710343	344	0.7275672344	345	0.7257806345	346	0.7243240346	347	0.7231666347	348	0.7219964348	349	0.7197974349	350	0.7189385350	351	0.7179244351	352	0.716172352	0353	0.714886353	0354	0.713244354	0355	0.711021355	0356	0.709343356	0357	0.707274357	0358	0.705152358	359	0.704327359	0360	0.703094360	0361	0.700722361	0362	0.698918362	363	0.6975694363	364	0.6964972364	365	0.6947495365	366	0.6924218366	367	0.6905292367	368	0.6890654368	369	0.6876933369	370	0.6872953370	371	0.6857186371	372	0.6842168372	373	0.6838325373	374	0.6834719374	375	0.6811368375	376	0.6802332376	377	0.6781549377	378	0.6757716378	379	0.6747606379	380	0.673425380	0381	0.671201381	0382	0.6685229112
383	0.6681366888
384	0.6672802012
385	0.6653105952
386	0.6634045808
387	0.6630412991
388	0.6613452277
389	0.6595374013
390	0.6583805837
391	0.655894385
392	0.6542368625
393	0.6517687185
394	0.6514173287
395	0.6491922634
396	0.6475666947
397	0.646803965
398	0.6460839996
399	0.6445110225
400	0.6424793222
401	0.6416828761
402	0.640742132
403	0.6392464241
404	0.6389188195
405	0.6382433322
406	0.6376099482
407	0.6353816764
408	0.633654728
409	0.6326933578
410	0.6316593194
411	0.6300008321
