iter	Passed	Remaining
0	19	19190
1	36	18339
2	53	17769
3	69	17263
4	86	17216
5	105	17557
6	120	17156
7	133	16501
8	145	16055
9	157	15567
10	167	15094
11	180	14832
12	191	14525
13	203	14332
14	216	14238
15	233	14377
16	250	14475
17	261	14292
18	276	14251
19	288	14143
20	300	13995
21	311	13862
22	324	13789
23	335	13663
24	347	13568
25	359	13469
26	373	13449
27	383	13315
28	393	13185
29	404	13080
30	416	13031
31	428	12965
32	439	12879
33	451	12814
34	461	12724
35	474	12698
36	486	12660
37	497	12591
38	509	12543
39	521	12508
40	531	12433
41	543	12391
42	555	12353
43	566	12315
44	578	12270
45	589	12232
46	602	12214
47	614	12180
48	625	12149
49	637	12121
50	649	12078
51	661	12059
52	672	12021
53	684	11994
54	696	11972
55	708	11942
56	719	11905
57	731	11873
58	741	11834
59	753	11799
60	765	11778
61	776	11754
62	788	11733
63	800	11713
64	812	11688
65	825	11679
66	839	11683
67	852	11690
68	863	11649
69	875	11628
70	888	11620
71	898	11580
72	910	11558
73	920	11522
74	933	11518
75	945	11500
76	957	11475
77	969	11455
78	983	11461
79	994	11440
80	1006	11422
81	1018	11402
82	1030	11383
83	1042	11367
84	1054	11346
85	1066	11332
86	1078	11321
87	1090	11301
88	1102	11282
89	1115	11275
90	1126	11254
91	1137	11231
92	1150	11216
93	1161	11199
94	1173	11180
95	1184	11153
96	1196	11139
97	1208	11125
98	1221	11114
99	1232	11091
100	1243	11070
101	1255	11054
102	1266	11028
103	1278	11011
104	1290	11003
105	1302	10981
106	1315	10978
107	1326	10954
108	1337	10937
109	1348	10909
110	1359	10891
111	1370	10865
112	1381	10847
113	1393	10834
114	1406	10826
115	1419	10815
116	1436	10840
117	1448	10824
118	1459	10807
119	1476	10828
120	1495	10861
121	1513	10894
122	1531	10920
123	1542	10898
124	1554	10881
125	1567	10870
126	1581	10870
127	1593	10854
128	1605	10839
129	1619	10837
130	1632	10827
131	1643	10806
132	1655	10790
133	1667	10777
134	1680	10765
135	1692	10749
136	1704	10738
137	1717	10726
138	1731	10723
139	1745	10723
140	1757	10709
141	1770	10695
142	1784	10694
143	1800	10700
144	1813	10692
145	1825	10677
146	1839	10674
147	1852	10664
148	1864	10648
149	1877	10637
150	1890	10631
151	1905	10628
152	1917	10616
153	1930	10604
154	1943	10594
155	1956	10585
156	1968	10570
157	1981	10559
158	1995	10557
159	2007	10536
160	2018	10516
161	2030	10501
162	2041	10485
163	2052	10464
164	2064	10448
165	2076	10432
166	2087	10414
167	2100	10400
168	2112	10387
169	2123	10367
170	2134	10349
171	2146	10335
172	2158	10320
173	2169	10298
174	2181	10283
175	2193	10268
176	2204	10252
177	2217	10238
178	2228	10219
179	2239	10203
180	2251	10189
181	2263	10172
182	2275	10158
183	2288	10147
184	2299	10128
185	2310	10112
186	2322	10095
187	2333	10080
188	2344	10060
189	2356	10046
190	2368	10032
191	2380	10017
192	2392	10002
193	2403	9985
194	2415	9971
195	2426	9955
196	2439	9942
197	2451	9928
198	2462	9913
199	2473	9893
200	2484	9876
201	2497	9866
202	2509	9853
203	2520	9836
204	2532	9822
205	2545	9809
206	2556	9793
207	2568	9781
208	2579	9764
209	2590	9744
210	2602	9731
211	2616	9725
212	2627	9707
213	2638	9690
214	2650	9676
215	2661	9659
216	2673	9646
217	2685	9634
218	2696	9617
219	2708	9601
220	2720	9589
221	2731	9573
222	2742	9556
223	2754	9541
224	2765	9523
225	2776	9509
226	2788	9495
227	2800	9481
228	2811	9465
229	2824	9455
230	2835	9440
231	2847	9426
232	2858	9411
233	2870	9397
234	2882	9383
235	2894	9369
236	2905	9355
237	2918	9344
238	2931	9333
239	2942	9319
240	2953	9300
241	2966	9291
242	2977	9274
243	2986	9254
244	2998	9241
245	3009	9225
246	3021	9209
247	3032	9194
248	3043	9180
249	3055	9166
250	3066	9151
251	3076	9132
252	3090	9125
253	3101	9108
254	3110	9088
255	3122	9073
256	3134	9060
257	3145	9047
258	3157	9034
259	3169	9019
260	3179	9003
261	3191	8988
262	3203	8977
263	3215	8964
264	3225	8947
265	3236	8931
266	3248	8916
267	3260	8905
268	3273	8896
269	3283	8878
270	3296	8866
271	3307	8851
272	3319	8839
273	3331	8825
274	3341	8810
275	3352	8795
276	3364	8782
277	3375	8766
278	3387	8752
279	3399	8742
280	3410	8726
281	3421	8710
282	3433	8698
283	3445	8685
284	3456	8670
285	3468	8659
286	3479	8645
287	3490	8630
288	3502	8617
289	3513	8602
290	3525	8589
291	3537	8577
292	3548	8562
293	3561	8551
294	3572	8537
295	3584	8524
296	3595	8511
297	3607	8497
298	3619	8485
299	3631	8472
300	3642	8458
301	3653	8444
302	3665	8432
303	3677	8420
304	3689	8406
305	3700	8392
306	3712	8380
307	3723	8364
308	3734	8351
309	3746	8339
310	3759	8328
311	3771	8316
312	3783	8303
313	3794	8290
314	3806	8276
315	3816	8260
316	3827	8247
317	3838	8232
318	3850	8220
319	3861	8204
320	3872	8192
321	3883	8177
322	3895	8165
323	3908	8155
324	3919	8140
325	3931	8127
326	3942	8113
327	3953	8100
328	3965	8087
329	3977	8075
330	3988	8060
331	4000	8049
332	4012	8036
333	4024	8024
334	4035	8010
335	4046	7996
336	4057	7982
337	4069	7971
338	4082	7959
339	4093	7946
340	4105	7933
341	4116	7919
342	4127	7905
343	4138	7892
344	4151	7881
345	4163	7868
346	4174	7855
347	4185	7842
348	4198	7830
349	4208	7816
350	4220	7802
351	4232	7791
352	4243	7777
353	4255	7766
354	4267	7753
355	4278	7740
356	4290	7726
357	4302	7716
358	4314	7703
359	4325	7690
360	4336	7676
361	4347	7662
362	4358	7648
363	4370	7636
364	4382	7623
365	4394	7611
366	4405	7599
367	4418	7587
368	4429	7575
369	4442	7564
370	4454	7551
371	4465	7538
372	4476	7524
373	4488	7512
374	4498	7498
375	4510	7485
376	4521	7472
377	4534	7460
378	4545	7448
379	4556	7434
380	4567	7420
381	4578	7407
382	382	4614	7383	383	4626	7384	384	4637	7385	385	4649	7386	386	4662	7387	387	4674	7388	388	4685	7389	389	4696	7390	390	4708	7391	391	4721	7392	392	4732	7393	393	4744	7394	394	4755	7395	395	4766	7396	396	4778	7397	397	4789	7398	398	4801	7399	399	4814	7400	400	4826	7401	401	4838	7402	402	4849	7403	403	4861	7404	404	4872	7405	405	4883	7406	406	4895	7407	407	4907	7408	408	4919	7409	409	4930	7410	410	4941	7411	411	4952	7412	412	4965	7413	413	4976	7414	414	4988	7415	415	5000	7416	416	5012	7417	417	5023	6418	418	5035	6419	419	5046	6420	420	5058	6421	421	5070	6422	422	5082	6423	423	5094	6424	424	5105	6425	425	5117	6426	426	5129	6427	427	5139	6428	428	5150	6429	429	5162	6430	430	5174	6431	431	5186	6432	432	5197	6433	433	5208	6434	434	5219	6435	435	5231	6436	436	5243	6437	437	5255	6438	438	5266	6439	439	5279	6440	440	5290	6441	441	5302	6442	442	5313	6443	443	5324	6444	444	5336	6445	445	5348	6446	446	5359	6447	447	5371	6448	448	5382	6449	449	5394	6450	450	5406	6451	451	5417	6452	452	5429	6453	453	5440	6454	454	5451	6455	455	5463	6456	456	5475	6457	457	5487	6458	458	5499	6459	459	5510	6460	460	5522	6461	461	5534	6462	462	5546	6463	463	5558	6464	464	5569	6465	465	5580	6466	466	5591	6467	467	5603	6468	468	5614	6469	469	5625	6470	470	5637	6471	471	5648	6472	472	5660	6473	473	5672	6474	474	5684	6475	475	5696	6476	476	5706	6477	477	5717	6478	478	5730	6479	479	5741	6480	480	5753	6481	481	5764	6482	482	5777	6483	483	5790	6484	484	5801	6485	485	5812	6486	486	5823	6487	487	5835	6488	488	5846	6489	489	5858	6490	490	5869	6491	491	5882	6492	492	5894	6493	493	5906	6494	494	5917	6495	495	5929	6496	496	5941	6497	497	5953	6498	498	5964	5499	499	5975	5500	500	5986	5501	501	5997	5502	502	6009	5503	503	6021	5504	504	6032	5505	505	6044	5506	506	6055	5507	507	6067	5508	508	6078	5509	509	6090	5510	510	6102	5511	511	6113	5512	512	6125	5513	513	6136	5514	514	6148	5515	515	6160	5516	516	6172	5517	517	6183	5518	518	6195	5519	519	6206	5520	520	6218	5521	521	6229	5522	522	6241	5523	523	6252	5524	524	6264	5525	525	6276	5526	526	6289	5527	527	6302	5528	528	6315	5529	529	6329	5530	530	6343	5531	531	6357	5532	532	6369	5533	533	6382	5534	6359	5527
535	6372	5516
536	6382	5503
537	6393	5490
538	6405	5478
539	6417	5466
540	6429	5455
541	6441	5442
542	6453	5431
543	6464	5418
544	6477	5407
545	6490	5396
546	6503	5385
547	6515	5373
548	6527	5361
549	6538	5349
550	6549	5337
551	6561	5325
552	6572	5312
553	6584	5300
554	6596	5289
555	6608	5277
556	6620	5265
557	6631	5252
558	6642	5240
559	6654	5228
560	6665	5215
561	6677	5204
562	6689	5192
563	6702	5181
564	6713	5168
565	6725	5157
566	6737	5145
567	6748	5132
568	6760	5121
569	6772	5109
570	6784	5097
571	6797	5086
572	6807	5073
573	6819	5061
574	6831	5049
575	6843	5037
576	6854	5024
577	6865	5012
578	6877	5000
579	6889	4988
580	6899	4975
581	6911	4963
582	6922	4951
583	6934	4939
584	6945	4927
585	6957	4915
586	6969	4903
587	6981	4891
588	6992	4879
589	7003	4867
590	7016	4855
591	7028	4844
592	7040	4832
593	7051	4820
594	7064	4808
595	7075	4795
596	7086	4783
597	7097	4771
598	7109	4759
599	7122	4748
600	7134	4736
601	7145	4724
602	7157	4712
603	7168	4699
604	7180	4687
605	7191	4675
606	7202	4663
607	7215	4651
608	7226	4639
609	7239	4628
610	7252	4617
611	7263	4604
612	7275	4593
613	7285	4580
614	7297	4568
615	7309	4556
616	7321	4544
617	7333	4533
618	7345	4520
619	7356	4508
620	7368	4496
